Date,Security Code,ISIN No,Issuer Name,Coupon(%),Maturity Date,LTP,Weighted Average- Price,Weighted Average- Yield,Turnover in Lakhs,No.Of Trades,
03 Apr 2020,00IIFL20,INE866I07BR8,INDIA INFOLINE FINANCE LIMITED,0.0000,21/04/2020,114.0832,114.0600,9.4800,2870.00,7,,,
23 Mar 2020,760FCI30,INE861G08068,FOOD CORPORATION OF INDIA,7.6000,09/01/2030,98.9073,100.6200,535.9700,6620.00,19,,,
12 May 2020,764FCI12DEC29,INE861G08050,FOOD CORPORATION OF INDIA,7.6400,12/12/2029,105.3500,103.7900,7.0700,11740.00,22,,,
15 Apr 2020,895ABF29,INE860H08EB9,ADITYA BIRLA FINANCE LIMITED,8.9500,06/06/2029,103.3000,103.3000,8.4000,180.00,1,,,
20 Apr 2020,870ABFL2099,INE860H08DZ0,ADITYA BIRLA FINANCE LIMITED,8.7000,21/07/2099,102.2100,102.2100,-,50.00,1,,,
11 Mar 2020,890ABIRLAYFIN26,INE860H08DW7,ADITYA BIRLA FINANCE LIMITED,8.9000,20/11/2026,103.8500,103.8500,8.1100,10.00,1,,,
12 Feb 2020,897ABFL26,INE860H08DT3,ADITYA BIRLA FINANCE LIMITED,8.9700,28/07/2026,103.5000,103.5000,8.2300,100.00,1,,,
29 May 2020,925ADITYA25,INE860H08DN6,ADITYA BIRLA FINANCE LIMITED,9.2500,22/08/2025,104.1100,104.0900,8.2500,1000.00,2,,,
29 May 2020,00ABFL22A,INE860H07GR2,ADITYA BIRLA FINANCE LIMITED,0.0000,25/05/2022,110.1326,109.5800,7.9200,1800.00,7,,,
19 May 2020,ABFL14MAY21,INE860H07GQ4,ADITYA BIRLA FINANCE LIMITED,0.0000,14/05/2021,111.7762,110.4500,8.2300,750.00,9,,,
28 May 2020,915ABFL23,INE860H07GL5,ADITYA BIRLA FINANCE LIMITED,9.1500,21/12/2023,104.1100,104.1100,7.7500,1150.00,1,,,
11 May 2020,00ABFL20,INE860H07GK7,ADITYA BIRLA FINANCE LIMITED,0.0000,05/06/2020,117.2304,116.6700,7.8300,1180.00,7,,,
03 Apr 2020,0ABF2020,INE860H07GB6,ADITYA BIRLA FINANCE LIMITED,0.0000,21/04/2020,113.9279,113.7600,6.8500,5500.00,5,,,
28 May 2020,0ABFL27,INE860H07FD4,ADITYA BIRLA FINANCE LIMITED,0.0000,11/06/2027,124.8124,124.8100,-,2500.00,1,,,
23 Apr 2020,0ABFL2020,INE860H07EZ0,ADITYA BIRLA FINANCE LIMITED,0.0000,15/05/2020,124.8825,124.8800,7.5000,2500.00,1,,,
14 May 2020,880TCLEANTECH29,INE857Q08024,TATA CLEANTECH CAPITAL LIMITED,8.8000,13/11/2029,102.7400,102.6600,8.4100,15300.00,13,,,
